Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
58,298,99,2,4.0,2.0,7.6,0,0.46
266,313,102,3,2.5,2.5,8.68,0,0.71
259,326,102,4,5.0,5.0,8.76,1,0.77
496,332,108,5,4.5,4.0,9.02,1,0.87
492,297,99,4,3.0,3.5,7.81,0,0.54
110,304,103,5,5.0,4.0,8.64,0,0.68
233,312,107,2,2.5,3.5,8.27,0,0.69
224,308,109,2,3.0,4.0,8.45,0,0.71
227,306,110,2,3.5,4.0,8.45,0,0.63
103,314,106,2,4.0,3.5,8.25,0,0.62
308,325,112,4,4.0,4.0,9.0,1,0.8
217,322,112,4,4.5,4.5,9.26,1,0.91
192,323,110,5,4.0,5.0,8.98,1,0.87
470,326,114,4,4.0,3.5,9.16,1,0.86
395,329,111,4,4.5,4.0,9.23,1,0.89
426,323,111,5,4.0,5.0,9.86,1,0.92
17,317,107,3,4.0,3.0,8.7,0,0.66
167,302,102,3,3.5,5.0,8.33,0,0.65
1,337,118,4,4.5,4.5,9.65,1,0.92
120,327,104,5,3.0,3.5,8.84,1,0.71
267,312,105,2,2.0,2.5,8.45,0,0.72
336,325,111,4,4.0,4.5,9.11,1,0.83
162,298,99,1,1.5,3.0,7.46,0,0.53
295,316,101,2,2.5,2.0,8.32,1,0.61
13,328,112,4,4.0,4.5,9.1,1,0.78
153,321,112,5,5.0,5.0,9.06,1,0.86
487,319,102,3,2.5,2.5,8.37,0,0.68
482,323,107,4,3.0,2.5,8.48,1,0.78
125,301,106,4,2.5,3.0,8.47,0,0.57
418,316,103,3,3.5,2.0,7.68,0,0.52
22,325,114,4,3.0,2.0,8.4,0,0.7
240,299,100,1,1.5,2.0,7.89,0,0.59
455,310,105,2,3.0,3.5,8.01,0,0.71
73,321,111,5,5.0,5.0,9.45,1,0.93
257,309,99,3,4.0,4.0,8.56,0,0.76
210,301,104,3,3.5,4.0,8.12,1,0.68
47,329,114,5,4.0,5.0,9.3,1,0.86
156,312,109,3,3.0,3.0,8.69,0,0.77
178,319,110,3,3.5,3.5,9.04,0,0.82
133,309,105,5,3.5,3.5,8.56,0,0.71
85,340,115,5,4.5,4.5,9.45,1,0.94
8,308,101,2,3.0,4.0,7.9,0,0.68
350,313,101,3,2.5,3.0,8.04,0,0.62
35,331,112,5,4.0,5.0,9.8,1,0.94
354,300,102,3,3.5,2.5,8.17,0,0.63
107,329,111,4,4.5,4.5,9.18,1,0.87
40,307,108,2,4.0,3.5,7.7,0,0.48
96,304,100,4,1.5,2.5,7.84,0,0.42
54,324,112,4,4.0,2.5,8.1,1,0.72
3,316,104,3,3.0,3.5,8.0,1,0.72
101,322,107,3,3.5,3.5,8.46,1,0.71
424,334,119,5,4.5,5.0,9.54,1,0.94
403,324,109,3,3.5,3.0,8.94,1,0.78
275,315,100,1,2.0,2.5,7.95,0,0.58
468,318,101,5,3.5,5.0,8.78,1,0.78
417,315,104,3,4.0,2.5,8.1,0,0.65
72,336,112,5,5.0,5.0,9.76,1,0.96
226,296,99,2,2.5,2.5,8.03,0,0.61
404,330,116,4,4.0,3.5,9.23,1,0.91
474,316,102,2,4.0,3.5,8.15,0,0.67
236,326,111,5,4.5,4.0,9.23,1,0.88
422,321,112,3,3.0,4.5,8.95,1,0.77
48,339,119,5,4.5,4.0,9.7,0,0.89
51,313,98,3,2.5,4.5,8.3,1,0.76
124,308,108,3,3.5,3.5,8.22,0,0.61
55,322,110,3,3.0,3.5,8.0,0,0.7
56,320,103,3,3.0,3.0,7.7,0,0.64
114,320,110,2,4.0,3.5,8.56,0,0.72
443,331,116,4,4.5,4.5,9.44,1,0.92
216,330,116,5,5.0,4.5,9.36,1,0.93
244,325,114,3,3.5,3.0,9.04,1,0.76
469,323,110,4,4.0,5.0,8.88,1,0.81
185,316,106,2,2.5,4.0,8.32,0,0.72
175,321,111,4,4.0,4.0,8.97,1,0.87
371,310,103,2,2.5,2.5,8.24,0,0.72
465,298,97,2,2.0,3.0,7.21,0,0.45
268,314,107,3,3.0,3.5,8.17,1,0.73
467,314,99,4,3.5,4.5,8.73,1,0.71
375,315,105,2,2.0,2.5,7.65,0,0.39
339,323,108,5,4.0,4.0,8.74,1,0.81
106,316,110,3,4.0,4.5,8.78,1,0.69
461,319,105,4,4.0,4.5,8.66,1,0.77
338,332,118,5,5.0,5.0,9.47,1,0.94
285,340,112,4,5.0,4.5,9.66,1,0.94
200,313,107,3,4.0,4.5,8.69,0,0.72
241,296,101,1,2.5,3.0,7.68,0,0.6
429,316,103,2,2.0,4.5,8.74,0,0.69
2,324,107,4,4.0,4.5,8.87,1,0.76
141,329,110,2,4.0,3.0,9.15,1,0.84
148,326,114,3,3.0,3.0,9.11,1,0.83
69,318,109,3,3.5,4.0,9.22,1,0.68
238,329,114,5,4.5,5.0,9.19,1,0.86
183,299,100,2,3.0,3.5,7.88,0,0.68
53,334,116,4,4.0,3.0,8.0,1,0.78
49,321,110,3,3.5,5.0,8.85,1,0.82
423,322,112,4,3.5,2.5,9.02,1,0.73
157,315,105,3,2.0,2.5,8.34,0,0.7
45,326,113,5,4.5,4.0,9.4,1,0.91
218,321,109,4,4.0,4.0,9.13,1,0.85
136,314,109,4,3.5,4.0,8.77,1,0.82
399,312,103,3,3.5,4.0,8.78,0,0.67
97,306,100,2,3.0,3.0,8.0,0,0.48
193,322,114,5,4.5,4.0,8.94,1,0.86
347,304,97,2,1.5,2.0,7.64,0,0.47
61,309,100,2,3.0,3.0,8.1,0,0.48
432,320,112,2,3.5,3.5,8.78,1,0.73
365,313,102,3,3.5,4.0,8.9,1,0.77
323,314,107,2,2.5,4.0,8.27,0,0.72
16,314,105,3,3.5,2.5,8.3,0,0.54
116,310,106,4,4.5,4.5,9.04,1,0.66
203,340,120,5,4.5,4.5,9.91,1,0.97
358,301,104,2,3.5,3.5,7.89,1,0.68
7,321,109,3,3.0,4.0,8.2,1,0.75
434,316,111,4,4.0,5.0,8.54,0,0.71
294,312,98,1,3.5,3.0,8.18,1,0.64
29,295,93,1,2.0,2.0,7.2,0,0.46
109,331,116,5,5.0,5.0,9.38,1,0.93
412,313,94,2,2.5,1.5,8.13,0,0.56
213,338,120,4,5.0,5.0,9.66,1,0.95
161,315,103,1,1.5,2.0,7.86,0,0.57
367,320,104,3,3.5,4.5,8.34,1,0.74
23,328,116,5,5.0,5.0,9.5,1,0.94
165,329,111,4,4.5,4.0,9.01,1,0.81
242,317,103,2,2.5,2.0,8.15,0,0.65
139,326,116,2,4.5,3.0,9.08,1,0.8
126,300,100,3,2.0,3.0,8.66,1,0.64
277,329,113,5,5.0,4.5,9.45,1,0.89
341,312,107,3,3.0,3.0,8.46,1,0.75
219,324,110,4,3.0,3.5,8.97,1,0.84
19,318,110,3,4.0,3.0,8.8,0,0.63
396,324,110,3,3.5,3.5,9.04,1,0.82
322,323,104,3,4.0,4.0,8.44,1,0.73
280,304,102,2,3.0,4.0,8.73,0,0.67
464,304,107,3,3.5,3.0,7.86,0,0.57
111,305,108,5,3.0,3.0,8.48,0,0.61
454,319,103,3,2.5,4.0,8.76,1,0.73
493,298,101,4,2.5,4.5,7.69,1,0.53
342,326,110,3,3.5,3.5,8.76,1,0.79
127,323,113,3,4.0,3.0,9.32,1,0.85
177,329,119,4,4.5,4.5,9.16,1,0.9
27,322,109,5,4.5,3.5,8.8,0,0.76
462,301,102,3,2.5,2.0,8.13,1,0.68
92,299,97,3,5.0,3.5,7.66,0,0.38
108,338,117,4,3.5,4.5,9.46,1,0.91
15,311,104,3,3.5,2.0,8.2,1,0.61
353,303,100,2,3.0,3.5,8.06,1,0.64
119,296,99,2,3.0,3.5,7.28,0,0.47
430,340,115,5,5.0,4.5,9.06,1,0.95
86,319,103,4,4.5,3.5,8.66,0,0.76
10,323,108,3,3.5,3.0,8.6,0,0.45
202,315,110,2,3.5,3.0,8.46,1,0.72
310,308,110,4,3.5,3.0,8.6,0,0.7
159,306,106,2,2.0,2.5,8.14,0,0.61
458,295,99,1,2.0,1.5,7.57,0,0.37
166,322,110,5,4.5,4.0,8.97,0,0.78
479,318,103,3,4.0,4.5,8.49,1,0.71
207,315,99,2,3.5,3.0,7.89,0,0.63
327,299,100,3,2.0,2.0,8.02,0,0.63
39,304,105,1,3.0,1.5,7.5,0,0.52
413,314,102,4,2.5,2.0,7.88,1,0.59
164,317,105,3,3.5,3.0,8.56,0,0.68
416,327,106,4,4.0,4.5,8.75,1,0.76
318,300,99,1,1.0,2.5,8.01,0,0.58
393,326,112,4,4.0,3.5,9.12,1,0.84
181,300,104,3,3.5,3.0,8.16,0,0.71
261,327,108,5,5.0,3.5,9.13,1,0.87
366,330,114,4,4.5,3.0,9.17,1,0.86
335,312,107,4,4.5,4.0,8.65,1,0.73
400,333,117,4,5.0,4.0,9.66,1,0.95
340,324,107,5,3.5,4.0,8.66,1,0.81
419,309,111,2,2.5,4.0,8.03,0,0.6
495,301,99,3,2.5,2.0,8.45,1,0.68
147,315,105,3,2.0,2.5,8.48,0,0.75
490,302,110,3,4.0,4.5,8.5,0,0.65
189,331,115,5,4.5,3.5,9.36,1,0.93
199,311,104,3,4.5,4.5,8.43,0,0.7
81,312,105,3,2.0,3.0,8.02,1,0.5
255,321,114,4,4.0,5.0,9.12,0,0.85
435,306,103,3,3.5,3.0,8.21,0,0.64
293,302,99,2,1.0,2.0,7.97,0,0.56
112,321,109,4,4.0,4.0,8.68,1,0.69
131,339,114,5,4.0,4.5,9.76,1,0.96
137,312,103,3,5.0,4.0,8.45,0,0.76
76,329,114,2,2.0,4.0,8.56,1,0.72
438,317,106,1,1.5,3.5,7.65,1,0.61
113,301,107,3,3.5,3.5,8.34,1,0.62
348,299,94,1,1.0,1.0,7.34,0,0.42
436,309,105,2,2.5,4.0,7.68,0,0.55
287,336,118,5,4.5,4.0,9.19,1,0.92
284,321,111,3,2.5,3.0,8.9,1,0.8
190,324,112,5,5.0,5.0,9.08,1,0.88
44,332,117,4,4.5,4.0,9.1,0,0.87
43,313,107,2,2.5,2.0,8.5,1,0.53
32,327,103,3,4.0,4.0,8.3,1,0.74
225,305,105,2,3.0,2.0,8.23,0,0.67
176,320,111,4,4.5,3.5,8.87,1,0.85
406,302,99,3,2.5,3.0,7.45,0,0.52
383,324,110,4,4.5,4.0,9.15,1,0.82
440,312,105,2,1.5,3.0,8.46,0,0.66
36,320,110,5,5.0,5.0,9.2,1,0.88
296,317,100,2,3.0,2.5,8.57,0,0.68
445,324,113,5,4.0,5.0,9.25,1,0.92
299,330,114,3,4.5,4.5,9.24,1,0.9
168,313,102,3,2.0,3.0,8.27,0,0.64
263,308,103,2,2.5,4.0,8.36,1,0.7
489,322,112,3,3.0,4.0,8.62,1,0.76
398,330,116,4,5.0,4.5,9.45,1,0.91
67,327,114,3,3.0,3.0,9.02,0,0.61
154,324,105,3,3.0,4.0,8.75,0,0.79
290,313,109,3,4.0,3.5,9.0,0,0.79
246,328,110,4,4.0,2.5,9.02,1,0.81
385,340,113,4,5.0,5.0,9.74,1,0.96
361,322,110,3,4.0,5.0,8.64,1,0.85
143,331,115,5,4.0,3.5,9.44,1,0.92
447,327,118,4,5.0,5.0,9.67,1,0.93
201,317,103,3,2.5,3.0,8.54,1,0.73
476,300,101,3,3.5,2.5,7.88,0,0.59
260,331,119,4,5.0,4.5,9.34,1,0.9
334,319,108,3,3.0,3.5,8.54,1,0.71
451,320,112,4,3.0,4.5,8.86,1,0.82
64,315,107,2,4.0,3.0,8.5,1,0.56
500,327,113,4,4.5,4.5,9.04,0,0.84
21,312,107,3,3.0,2.0,7.9,1,0.64
258,324,100,3,4.0,5.0,8.64,1,0.78
452,324,113,4,4.5,4.5,9.25,1,0.89
407,322,103,4,3.0,2.5,8.02,1,0.61
75,314,106,3,3.0,5.0,8.9,0,0.74
369,298,92,1,2.0,2.0,7.88,0,0.51
314,301,100,3,3.5,3.0,8.04,0,0.67
234,304,100,2,2.5,3.5,8.07,0,0.64
433,324,112,4,4.5,4.0,9.22,1,0.86
191,324,111,5,4.5,4.0,9.16,1,0.9
37,299,106,2,4.0,4.0,8.4,0,0.64
414,317,101,3,3.0,2.0,7.94,1,0.49
427,312,106,3,3.0,5.0,8.57,0,0.71
270,308,108,4,4.5,5.0,8.34,0,0.77
274,312,99,1,1.0,1.5,8.01,1,0.52
337,319,110,3,3.0,2.5,8.79,0,0.72
324,305,102,2,2.0,2.5,8.18,0,0.62
302,319,108,2,2.5,3.0,8.76,0,0.66
182,305,107,2,2.5,2.5,8.42,0,0.71
374,321,109,3,3.0,3.0,8.54,1,0.79
466,305,96,4,3.0,4.5,8.26,0,0.54
409,297,101,3,2.0,4.0,7.67,1,0.57
172,334,117,5,4.0,4.5,9.07,1,0.89
300,305,112,3,3.0,3.5,8.65,0,0.71
93,298,98,2,4.0,3.0,8.03,0,0.34
78,301,99,2,3.0,2.0,8.22,0,0.64
425,325,114,5,4.0,5.0,9.46,1,0.91
87,315,106,3,4.5,3.5,8.42,0,0.72
52,312,100,2,1.5,3.5,7.9,1,0.56
188,335,118,5,4.5,3.5,9.44,1,0.93
129,326,112,3,3.5,3.0,9.1,1,0.84
105,326,112,3,3.5,3.0,9.05,1,0.74
90,316,109,4,4.5,3.5,8.76,1,0.74
381,322,104,3,3.5,4.0,8.84,1,0.78
128,319,112,3,2.5,2.0,8.71,1,0.78
235,330,113,5,5.0,4.0,9.31,1,0.91
486,311,101,2,2.5,3.5,8.34,1,0.7
307,323,110,3,4.0,3.5,9.1,1,0.79
359,314,105,2,2.5,2.0,7.64,0,0.7
231,313,104,3,4.0,4.5,8.65,0,0.73
28,298,98,2,1.5,2.5,7.5,1,0.44
304,323,107,3,3.5,3.5,8.55,1,0.73
140,318,109,1,3.5,3.5,9.12,0,0.78
26,340,120,5,4.5,4.5,9.6,1,0.94
397,325,107,3,3.0,3.5,9.11,1,0.84
118,290,104,4,2.0,2.5,7.46,0,0.45
360,321,107,2,2.0,1.5,8.44,0,0.81
206,295,99,2,2.5,3.0,7.65,0,0.57
239,310,104,3,2.0,3.5,8.37,0,0.7
38,300,105,1,1.0,2.0,7.8,0,0.58
301,309,106,2,2.5,2.5,8.0,0,0.62
326,326,116,3,3.5,4.0,9.14,1,0.81
373,336,119,4,4.5,4.0,9.62,1,0.95
306,321,109,3,3.5,3.5,8.8,1,0.74
459,312,100,1,3.0,3.0,8.53,1,0.69
222,316,110,3,3.5,4.0,8.56,0,0.75
41,308,110,3,3.5,3.0,8.0,1,0.46
50,327,111,4,3.0,4.0,8.4,1,0.78
282,317,110,3,4.0,4.5,9.11,1,0.8
63,304,105,2,3.0,3.0,8.2,1,0.54
30,310,99,2,1.5,2.0,7.3,0,0.54
6,330,115,5,4.5,3.0,9.34,1,0.9
485,317,106,3,3.5,3.0,7.89,1,0.73
138,316,100,2,1.5,3.0,8.16,1,0.71
463,307,105,4,3.0,3.0,7.94,0,0.62
145,325,112,2,3.0,3.5,8.96,1,0.8
65,325,111,3,3.0,3.5,8.7,0,0.52
389,296,97,2,1.5,2.0,7.8,0,0.49
303,322,105,2,3.0,3.0,8.45,1,0.65
88,317,107,2,3.5,3.0,8.28,0,0.66
376,304,101,2,2.0,2.5,7.66,0,0.38
237,325,112,4,4.0,4.5,9.17,1,0.85
272,299,96,2,1.5,2.0,7.86,0,0.54
171,312,101,2,2.5,3.5,8.04,1,0.68
130,333,118,5,5.0,5.0,9.35,1,0.92
273,294,95,1,1.5,1.5,7.64,0,0.49
197,306,105,2,3.0,2.5,8.26,0,0.73
357,327,109,3,3.5,4.0,8.77,1,0.79
332,311,105,2,3.0,2.0,8.12,1,0.73
288,324,114,5,5.0,4.5,9.08,1,0.89
68,316,107,2,3.5,3.5,8.64,1,0.57
317,298,101,2,1.5,2.0,7.86,0,0.54
174,323,113,4,4.0,4.5,9.23,1,0.89
305,313,106,2,2.5,2.0,8.43,0,0.62
214,333,119,5,5.0,4.5,9.78,1,0.96
123,310,106,4,1.5,2.5,8.36,0,0.57
351,318,107,3,3.0,3.5,8.27,1,0.74
70,328,115,4,4.5,4.0,9.16,1,0.78
391,314,102,2,2.0,2.5,8.24,0,0.64
211,325,108,4,4.5,4.0,9.06,1,0.79
91,318,106,2,4.0,4.0,7.92,1,0.64
196,307,107,2,3.0,3.5,8.52,1,0.78
346,316,98,1,1.5,2.0,7.43,0,0.49
311,320,104,3,3.0,3.5,8.74,1,0.76
169,293,97,2,2.0,4.0,7.8,1,0.64
62,307,101,3,4.0,3.0,8.2,0,0.47
499,312,103,4,4.0,5.0,8.43,0,0.73
170,311,99,2,2.5,3.0,7.98,0,0.65
102,312,105,2,2.5,3.0,8.12,0,0.64
345,295,96,2,1.5,2.0,7.34,0,0.47
