GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
317,107,2,3.5,3.0,8.28,0,0.66
322,112,3,3.0,4.0,8.62,1,0.76
323,110,5,4.0,5.0,8.98,1,0.87
322,114,5,4.5,4.0,8.94,1,0.86
339,119,5,4.5,4.0,9.7,0,0.89
315,105,2,3.0,3.0,8.34,0,0.66
323,112,5,4.0,4.5,8.78,0,0.79
301,104,3,3.5,4.0,8.12,1,0.68
300,102,3,3.5,2.5,8.17,0,0.63
319,110,3,3.0,2.5,8.79,0,0.72
324,111,3,2.5,2.0,8.8,1,0.79
316,104,3,3.0,3.5,8.0,1,0.72
333,119,5,5.0,4.5,9.78,1,0.96
323,113,3,4.0,3.0,9.32,1,0.85
305,102,2,1.5,2.5,7.64,0,0.59
301,104,2,3.5,3.5,7.89,1,0.68
315,99,2,3.5,3.0,7.89,0,0.63
296,95,2,3.0,2.0,7.54,1,0.44
324,113,5,4.0,5.0,9.25,1,0.92
328,116,5,4.5,5.0,9.08,1,0.91
334,120,5,4.0,5.0,9.87,1,0.97
316,102,2,4.0,3.5,8.15,0,0.67
335,118,5,4.5,3.5,9.44,1,0.93
300,104,3,3.5,3.0,8.16,0,0.71
319,103,4,4.5,3.5,8.66,0,0.76
315,110,2,3.5,3.0,8.46,1,0.72
315,105,3,2.0,2.5,8.48,0,0.75
328,112,4,4.0,4.5,9.1,1,0.78
324,105,3,3.0,4.0,8.75,0,0.79
295,101,2,2.5,2.0,7.86,0,0.69
324,113,4,4.5,4.0,8.79,0,0.76
321,111,5,5.0,5.0,9.45,1,0.93
320,104,3,3.0,3.5,8.74,1,0.76
329,114,5,4.0,5.0,9.3,1,0.86
323,113,3,4.0,4.0,8.88,1,0.79
327,103,3,4.0,4.0,8.3,1,0.74
314,106,2,4.0,3.5,8.25,0,0.62
316,107,2,3.5,3.5,8.64,1,0.57
330,116,4,4.0,3.5,9.23,1,0.91
331,119,4,5.0,4.5,9.34,1,0.9
303,100,2,3.0,3.5,8.06,1,0.64
340,114,5,4.0,4.0,9.6,1,0.9
326,112,4,4.0,3.5,9.12,1,0.84
303,98,1,2.0,2.5,7.65,0,0.56
312,106,3,3.0,5.0,8.57,0,0.71
313,106,2,2.5,2.0,8.43,0,0.62
308,103,2,2.5,4.0,8.36,1,0.7
300,98,1,2.0,2.5,8.02,0,0.61
312,100,2,1.5,3.5,7.9,1,0.56
322,110,5,4.5,4.0,8.97,0,0.78
298,99,1,1.5,3.0,7.46,0,0.53
313,104,3,4.0,4.5,8.65,0,0.73
320,113,2,2.0,2.5,8.64,1,0.81
324,112,4,4.5,4.0,9.22,1,0.86
307,108,2,4.0,3.5,7.7,0,0.48
310,105,2,3.0,3.5,8.01,0,0.71
304,105,2,3.0,3.0,8.2,1,0.54
338,117,4,3.5,4.5,9.46,1,0.91
306,105,2,2.5,3.0,8.22,1,0.72
330,113,5,5.0,4.0,9.31,1,0.91
298,101,4,2.5,4.5,7.69,1,0.53
326,114,4,4.0,3.5,9.16,1,0.86
297,96,2,2.5,2.0,7.43,0,0.34
326,116,2,4.5,3.0,9.08,1,0.8
338,115,5,4.5,5.0,9.23,1,0.91
312,103,4,4.0,5.0,8.43,0,0.73
320,110,2,4.0,3.5,8.56,0,0.72
322,110,3,3.5,3.0,8.96,1,0.78
326,113,5,4.5,4.0,9.4,1,0.91
334,117,5,4.0,4.5,9.07,1,0.89
318,110,3,4.0,3.0,8.8,0,0.63
339,114,5,4.0,4.5,9.76,1,0.96
327,113,3,3.5,3.0,8.66,1,0.8
290,100,1,1.5,2.0,7.56,0,0.47
304,97,2,1.5,2.0,7.64,0,0.47
328,116,5,5.0,5.0,9.5,1,0.94
329,111,4,4.5,4.5,9.18,1,0.87
304,105,1,3.0,1.5,7.5,0,0.52
311,101,2,2.5,3.5,8.34,1,0.7
306,110,2,3.5,4.0,8.45,0,0.63
313,102,3,3.5,4.0,8.9,1,0.77
301,107,3,3.5,3.5,8.34,1,0.62
324,110,4,4.5,4.0,9.15,1,0.82
308,101,2,3.0,4.0,7.9,0,0.68
330,116,5,5.0,4.5,9.36,1,0.93
335,115,4,4.5,4.5,9.68,1,0.93
309,108,3,2.5,3.0,8.12,0,0.72
318,109,3,3.5,4.0,9.22,1,0.68
323,110,3,4.0,3.5,9.1,1,0.79
338,118,4,3.0,4.5,9.4,1,0.91
314,108,4,4.5,4.0,9.04,1,0.84
302,110,3,4.0,4.5,8.5,0,0.65
329,119,4,4.5,4.5,9.16,1,0.9
311,101,3,2.0,2.5,7.64,1,0.62
310,103,2,2.5,2.5,8.24,0,0.72
312,104,3,3.5,3.5,8.42,0,0.74
316,103,2,2.0,4.5,8.74,0,0.69
312,103,3,5.0,4.0,8.45,0,0.76
331,116,5,5.0,5.0,9.38,1,0.93
316,110,3,3.5,4.0,8.56,0,0.75
308,105,4,3.0,2.5,7.95,1,0.67
332,112,1,1.5,3.0,8.66,1,0.79
308,110,3,3.5,3.0,8.0,1,0.46
309,106,2,2.5,2.5,8.0,0,0.62
298,98,2,1.5,2.5,7.5,1,0.44
307,101,3,4.0,3.0,8.2,0,0.47
311,99,2,2.5,3.0,7.98,0,0.65
313,107,2,2.5,2.0,8.5,1,0.53
301,100,3,3.5,3.0,8.04,0,0.67
320,110,5,4.0,4.0,9.27,1,0.87
324,114,5,5.0,4.5,9.08,1,0.89
332,116,5,5.0,5.0,9.28,1,0.94
304,107,3,3.5,3.0,7.86,0,0.57
315,100,1,2.0,2.5,7.95,0,0.58
319,106,3,3.5,2.5,8.33,1,0.74
301,99,2,3.0,2.0,8.22,0,0.64
317,103,3,2.5,3.0,8.54,1,0.73
332,118,5,5.0,5.0,9.47,1,0.94
299,100,2,3.0,3.5,7.88,0,0.68
297,96,2,2.5,1.5,7.89,0,0.43
323,110,4,4.0,5.0,8.88,1,0.81
310,106,4,4.5,4.5,9.04,1,0.66
304,100,4,1.5,2.5,7.84,0,0.42
316,109,3,3.5,3.0,8.76,0,0.77
297,100,1,1.5,2.0,7.9,0,0.52
311,106,2,3.5,3.0,8.26,1,0.79
323,108,5,4.0,4.0,8.74,1,0.81
298,92,1,2.0,2.0,7.88,0,0.51
333,118,5,5.0,5.0,9.35,1,0.92
295,99,1,2.0,1.5,7.57,0,0.37
313,107,3,4.0,4.5,8.69,0,0.72
320,112,4,3.0,4.5,8.86,1,0.82
322,110,3,3.0,3.5,8.0,0,0.7
325,106,3,3.5,4.0,8.4,1,0.52
327,106,4,4.0,4.5,8.75,1,0.76
319,108,3,3.0,3.5,8.54,1,0.71
319,105,3,3.0,3.5,8.67,1,0.73
306,100,2,3.0,3.0,8.0,0,0.48
320,111,4,4.5,3.5,8.87,1,0.85
316,101,2,2.5,2.0,8.32,1,0.61
307,105,4,3.0,3.0,7.94,0,0.62
329,114,2,2.0,4.0,8.56,1,0.72
300,102,2,1.5,2.0,7.87,0,0.56
324,112,4,4.0,3.5,8.77,1,0.8
312,107,4,4.5,4.0,8.65,1,0.73
315,105,3,2.0,2.5,8.34,0,0.7
312,110,2,3.5,3.0,8.53,0,0.64
327,114,3,3.0,3.0,9.02,0,0.61
299,100,3,2.0,3.0,7.42,0,0.42
340,115,5,5.0,4.5,9.06,1,0.95
329,113,4,4.0,3.5,9.36,1,0.89
324,110,4,3.0,3.5,8.97,1,0.84
312,107,3,3.0,3.0,8.46,1,0.75
317,104,2,3.0,3.0,8.76,0,0.77
309,105,2,2.5,4.0,7.68,0,0.55
306,106,2,2.0,2.5,8.14,0,0.61
315,104,3,3.0,2.5,8.33,0,0.67
310,106,2,3.5,2.5,8.33,0,0.73
325,114,3,3.5,3.0,9.04,1,0.76
324,112,4,4.0,2.5,8.1,1,0.72
319,110,3,3.5,3.5,9.04,0,0.82
299,97,3,5.0,3.5,7.66,0,0.38
320,110,5,5.0,4.5,9.22,1,0.92
290,104,4,2.0,2.5,7.46,0,0.45
321,107,2,2.0,1.5,8.44,0,0.81
322,110,3,3.5,2.5,8.67,1,0.8
298,101,2,1.5,2.0,7.86,0,0.54
321,109,4,4.0,4.0,8.68,1,0.69
331,112,5,4.0,5.0,9.8,1,0.94
315,106,3,4.5,3.5,8.42,0,0.72
319,108,2,2.5,3.0,8.76,0,0.66
313,109,3,4.0,3.5,9.0,0,0.79
316,99,2,2.5,3.0,9.0,0,0.7
305,112,3,3.0,3.5,8.65,0,0.71
331,116,4,4.5,4.5,9.44,1,0.92
321,109,3,3.5,3.5,8.8,1,0.74
324,109,3,3.5,3.0,8.94,1,0.78
333,117,4,5.0,4.0,9.66,1,0.95
326,108,3,3.0,3.5,8.89,0,0.8
301,97,2,3.0,3.0,7.88,1,0.44
310,107,3,3.5,3.5,8.67,0,0.76
329,113,5,5.0,4.5,9.45,1,0.89
296,99,2,2.5,2.5,8.03,0,0.61
316,105,2,2.5,2.5,8.2,1,0.49
330,114,4,4.5,3.0,9.17,1,0.86
336,118,5,4.5,4.0,9.19,1,0.92
318,109,1,3.5,3.5,9.12,0,0.78
327,113,4,4.5,4.5,9.04,0,0.84
327,115,4,3.5,4.0,9.14,0,0.79
340,112,4,5.0,4.5,9.66,1,0.94
322,110,4,4.0,5.0,9.13,1,0.86
317,106,3,3.5,3.0,7.89,1,0.73
307,102,3,3.0,3.0,8.27,0,0.73
326,112,3,3.5,3.0,9.1,1,0.84
312,101,2,2.5,3.5,8.04,1,0.68
321,111,3,2.5,3.0,8.9,1,0.8
327,118,4,5.0,5.0,9.67,1,0.93
299,100,3,2.0,2.0,8.02,0,0.63
300,100,3,2.0,3.0,8.66,1,0.64
311,104,3,4.0,3.5,8.13,1,0.74
308,109,2,3.0,4.0,8.45,0,0.71
324,111,4,3.0,3.0,9.01,1,0.82
337,118,4,4.5,4.5,9.65,1,0.92
295,99,2,2.5,3.0,7.65,0,0.57
310,104,3,2.0,3.5,8.37,0,0.7
299,96,2,1.5,2.0,7.86,0,0.54
313,102,3,2.5,2.5,8.68,0,0.71
327,111,4,4.0,4.5,9.0,1,0.84
336,112,5,5.0,5.0,9.76,1,0.96
327,108,5,5.0,3.5,9.13,1,0.87
300,100,3,3.0,3.5,8.26,0,0.62
318,106,2,4.0,4.0,7.92,1,0.64
299,102,3,4.0,3.5,8.62,0,0.56
296,99,2,3.0,3.5,7.28,0,0.47
340,120,5,4.5,4.5,9.6,1,0.94
326,110,3,3.5,3.5,8.76,1,0.79
315,107,2,4.0,3.0,8.5,1,0.56
314,102,4,2.5,2.0,7.88,1,0.59
309,111,2,2.5,4.0,8.03,0,0.6
309,99,3,4.0,4.0,8.56,0,0.76
