fixed acidity;"volatile acidity""""";"citric acid""""";"residual sugar""""";"chlorides""""";"free sulfur dioxide""""";"total sulfur dioxide""""";"density""""";"pH""""";"sulphates""""";"alcohol""""";"quality"""""""
6.2;0.36;0.14;8.9;0.036000000000000004;38.0;155.0;0.9962200000000001;3.27;0.5;9.4;5
7.2;0.31;0.35;7.2;0.046;45.0;178.0;0.9955;3.14;0.53;9.7;5
8.1;0.3;0.31;1.1;0.040999999999999995;49.0;123.0;0.9914;2.99;0.45;11.1;6
7.3;0.15;0.4;2.0;0.05;24.0;92.0;0.9932;3.14;0.45;10.5;5
8.0;0.18;0.49;1.8;0.061;10.0;145.0;0.9942;3.23;0.48;10.0;5
7.3;0.34;0.3;9.4;0.057;34.0;178.0;0.99554;3.15;0.44;10.4;6
8.6;0.31;0.3;0.9;0.045;16.0;109.0;0.99249;2.95;0.39;10.1;5
6.8;0.32;0.3;1.0;0.049;22.0;113.0;0.9928899999999999;3.24;0.61;10.2;5
5.4;0.31;0.47;3.0;0.053;46.0;144.0;0.9931;3.29;0.76;10.0;5
6.2;0.23;0.38;1.6;0.044000000000000004;12.0;113.0;0.9917600000000001;3.3;0.73;11.4;5
7.2;0.4;0.49;1.1;0.048;11.0;138.0;0.9929;3.01;0.42;9.3;5
8.5;0.19;0.48;1.1;0.026000000000000002;23.0;58.0;0.9918399999999999;2.9;0.5;10.5;6
6.8;0.29;0.32;1.8;0.032;18.0;130.0;0.99095;3.05;0.62;11.2;6
6.7;0.26;0.29;7.1;0.036000000000000004;28.0;100.0;0.99534;3.08;0.36;9.3;6
6.5;0.41;0.24;14.0;0.048;24.0;113.0;0.9982;3.44;0.53;9.8;6
7.3;0.25;0.26;7.2;0.048;52.0;207.0;0.99587;3.12;0.37;9.2;5
7.1;0.14;0.33;1.0;0.10400000000000001;20.0;54.0;0.9905700000000001;3.19;0.64;11.5;6
6.7;0.31;0.09;1.4;0.039;53.0;141.0;0.99206;3.12;0.44;10.1;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.2;0.18;0.38;1.5;0.027999999999999997;36.0;117.0;0.993;3.47;0.54;9.7;6
6.5;0.33;0.72;1.1;0.061;7.0;151.0;0.993;3.09;0.57;9.5;4
6.2;0.345;0.27;10.1;0.055999999999999994;38.0;187.0;0.9948600000000001;3.31;0.56;10.6;5
6.8;0.33;0.44;7.0;0.05;29.0;155.0;0.9955;3.14;0.42;9.5;5
6.8;0.19;0.71;17.5;0.042;21.0;114.0;0.99784;2.85;0.5;9.5;6
6.0;0.17;0.21;6.0;0.05;26.0;134.0;0.9939;3.08;0.54;9.8;6
5.3;0.275;0.24;7.4;0.038;28.0;114.0;0.99313;3.38;0.51;11.0;6
6.5;0.33;0.28;6.1;0.018000000000000002;41.0;103.0;0.9912200000000001;3.24;0.32;12.2;6
5.8;0.27;0.4;1.2;0.076;47.0;130.0;0.99185;3.13;0.45;10.3;6
6.2;0.36;0.22;5.25;0.038;44.0;145.0;0.9918399999999999;3.22;0.4;11.2;6
8.0;0.3;0.28;5.7;0.044000000000000004;31.0;124.0;0.9948;3.16;0.51;10.2;6
8.1;0.5;0.47;1.1;0.037000000000000005;23.0;126.0;0.9938;3.21;0.42;10.9;5
9.0;0.17;0.49;1.0;0.039;46.0;131.0;0.993;3.09;0.51;10.5;7
6.3;0.48;0.48;1.8;0.035;35.0;96.0;0.99121;3.49;0.74;12.2;6
6.4;0.43;0.27;1.1;0.054000000000000006;5.0;110.0;0.9939;3.24;0.52;9.1;4
6.0;0.2;0.26;6.8;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;6
6.1;0.28;0.35;12.8;0.048;63.0;229.0;0.9975;3.08;0.4;8.9;5
9.2;0.22;0.4;2.4;0.054000000000000006;18.0;151.0;0.9952;3.04;0.46;9.3;4
6.6;0.17;0.28;1.1;0.034;55.0;108.0;0.98939;3.0;0.52;11.9;7
6.7;0.24;0.41;2.9;0.039;48.0;122.0;0.9905200000000001;3.25;0.43;12.0;5
6.5;0.23;0.38;1.3;0.032;29.0;112.0;0.99298;3.29;0.54;9.7;5
6.3;0.2;0.26;1.6;0.027000000000000003;36.0;141.0;0.9926799999999999;3.53;0.56;10.8;6
8.6;0.2;0.42;1.5;0.040999999999999995;35.0;125.0;0.9925;3.11;0.49;11.4;7
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.3;0.18;0.22;1.5;0.043;45.0;155.0;0.9923799999999999;3.19;0.48;10.2;5
7.4;0.16;0.49;1.2;0.055;18.0;150.0;0.9917;3.23;0.47;11.2;6
7.2;0.29;0.4;7.6;0.024;56.0;177.0;0.9928;3.04;0.32;11.5;6
6.9;0.3;0.36;4.5;0.054000000000000006;31.0;203.0;0.99513;3.4;0.57;10.4;4
6.8;0.51;0.3;4.2;0.066;38.0;165.0;0.9945;3.2;0.42;9.1;5
6.9;0.18;0.33;1.0;0.054000000000000006;24.0;164.0;0.9926;3.42;0.51;10.5;5
5.9;0.22;0.38;1.3;0.046;24.0;90.0;0.9923200000000001;3.2;0.47;10.0;6
7.4;0.18;0.34;2.7;0.03;30.0;107.0;0.992;2.97;0.53;11.0;6
7.0;0.3;0.51;13.6;0.05;40.0;168.0;0.9976;3.07;0.52;9.6;7
7.8;0.26;0.44;1.3;0.037000000000000005;43.0;132.0;0.9944;3.18;0.65;10.0;5
7.6;0.27;0.52;3.2;0.043;28.0;152.0;0.99129;3.02;0.53;11.4;6
6.6;0.23;0.3;14.9;0.051;33.0;118.0;0.99835;3.04;0.54;9.0;6
6.4;0.16;0.42;1.0;0.036000000000000004;29.0;113.0;0.9908;3.18;0.52;11.0;6
6.1;0.17;0.28;4.5;0.033;46.0;150.0;0.9933;3.43;0.49;10.9;6
5.7;0.18;0.26;2.2;0.023;21.0;95.0;0.9893;3.07;0.54;12.3;6
6.7;0.18;0.19;4.7;0.046;57.0;161.0;0.9946;3.32;0.66;10.5;6
6.2;0.28;0.27;10.3;0.03;26.0;108.0;0.9938799999999999;3.2;0.36;10.7;6
6.0;0.41;0.05;1.5;0.063;17.0;120.0;0.9932;3.21;0.56;9.2;6
7.0;0.22;0.31;2.7;0.03;41.0;136.0;0.9898;3.16;0.37;12.7;7
6.6;0.41;0.27;10.7;0.11;20.0;103.0;0.99672;3.08;0.41;9.0;6
7.5;0.17;0.71;11.8;0.038;52.0;148.0;0.9980100000000001;3.03;0.46;8.9;5
9.0;0.2;0.33;3.5;0.049;10.0;40.0;0.9944;3.14;0.36;9.8;6
6.3;0.36;0.28;2.5;0.035;18.0;73.0;0.9886799999999999;3.1;0.47;12.8;7
6.1;0.22;0.49;1.5;0.051;18.0;87.0;0.9928;3.3;0.46;9.6;5
5.6;0.12;0.33;2.9;0.044000000000000004;21.0;73.0;0.9889600000000001;3.17;0.32;12.9;8
7.0;0.24;0.18;1.3;0.046;9.0;62.0;0.9940000000000001;3.38;0.47;10.1;4
7.1;0.18;0.74;15.6;0.044000000000000004;44.0;176.0;0.9996;3.38;0.67;9.0;6
5.8;0.22;0.25;1.5;0.024;21.0;109.0;0.99234;3.37;0.58;10.4;6
6.7;0.3;0.44;18.5;0.057;65.0;224.0;0.99956;3.11;0.53;9.1;5
7.2;0.2;0.28;1.6;0.027999999999999997;13.0;168.0;0.99203;3.17;1.06;11.5;6
6.9;0.41;0.33;10.1;0.043;28.0;152.0;0.9968;3.2;0.52;9.4;5
8.7;0.22;0.42;2.3;0.053;27.0;114.0;0.9940000000000001;2.99;0.43;10.0;5
7.0;0.13;0.3;5.0;0.055999999999999994;31.0;122.0;0.9945;3.47;0.42;10.5;6
6.6;0.58;0.3;5.1;0.057;30.0;123.0;0.9949;3.24;0.38;9.0;5
7.3;0.17;0.24;8.1;0.121;32.0;162.0;0.99508;3.17;0.38;10.4;8
7.4;0.18;0.31;1.4;0.057999999999999996;38.0;167.0;0.9931;3.16;0.53;10.0;7
6.7;0.3;0.5;12.1;0.045;38.0;127.0;0.9974;3.04;0.53;8.9;6
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.3;0.21;0.29;11.7;0.048;49.0;147.0;0.99482;3.22;0.38;10.8;5
9.0;0.38;0.53;2.1;0.102;19.0;76.0;0.9900100000000001;2.93;0.57;12.9;5
6.4;0.15;0.31;1.1;0.044000000000000004;25.0;96.0;0.9932;3.54;0.51;10.3;6
7.7;0.3;0.42;14.3;0.045;45.0;213.0;0.9991;3.18;0.63;9.2;5
7.4;0.26;0.37;9.4;0.047;42.0;147.0;0.9982;3.46;0.72;10.0;5
7.3;0.19;0.27;13.9;0.057;45.0;155.0;0.9980700000000001;2.94;0.41;8.8;8
6.4;0.29;0.44;3.6;0.19699999999999998;75.0;183.0;0.9942;3.01;0.38;9.1;5
6.8;0.27;0.28;7.8;0.038;26.0;89.0;0.9915;3.24;0.34;12.5;6
6.4;0.21;0.3;5.6;0.044000000000000004;43.0;160.0;0.9949;3.6;0.41;10.6;6
7.2;0.25;0.28;14.4;0.055;55.0;205.0;0.9986;3.12;0.38;9.0;7
7.1;0.45;0.24;2.7;0.04;24.0;87.0;0.98862;2.94;0.38;13.4;8
6.7;0.54;0.27;7.1;0.049;8.0;178.0;0.9950200000000001;3.16;0.38;9.4;4
7.0;0.36;0.35;2.5;0.048;67.0;161.0;0.99146;3.05;0.56;11.1;6
6.9;0.32;0.16;1.4;0.051;15.0;96.0;0.9940000000000001;3.22;0.38;9.5;4
7.4;0.16;0.3;13.7;0.055999999999999994;33.0;168.0;0.99825;2.9;0.44;8.7;7
5.7;0.28;0.3;3.9;0.026000000000000002;36.0;105.0;0.9896299999999999;3.26;0.58;12.75;6
5.6;0.18;0.58;1.25;0.034;29.0;129.0;0.9898399999999999;3.51;0.6;12.0;7
9.1;0.27;0.45;10.6;0.035;28.0;124.0;0.997;3.2;0.46;10.4;9
6.5;0.24;0.39;17.3;0.052000000000000005;22.0;126.0;0.9988799999999999;3.11;0.47;9.2;6
7.8;0.4;0.26;9.5;0.059000000000000004;32.0;178.0;0.9955;3.04;0.43;10.9;6
6.3;0.22;0.3;2.0;0.05;23.0;120.0;0.9920399999999999;3.24;0.47;10.4;6
8.4;0.23;0.49;7.8;0.035;22.0;95.0;0.9935;3.04;0.34;12.0;6
6.1;0.26;0.28;1.7;0.043;24.0;98.0;0.98918;3.14;0.44;12.5;6
6.4;0.22;0.38;9.1;0.044000000000000004;35.0;127.0;0.99326;2.97;0.3;11.0;7
8.9;0.3;0.35;4.6;0.032;32.0;148.0;0.9945799999999999;3.15;0.45;11.5;7
8.0;0.2;0.4;5.2;0.055;41.0;167.0;0.9953;3.18;0.4;10.6;7
7.4;0.2;0.37;16.95;0.048;43.0;190.0;0.9995;3.03;0.42;9.2;6
6.5;0.29;0.52;1.7;0.034;41.0;193.0;0.99223;3.25;0.59;10.4;6
7.5;0.31;0.24;7.1;0.031;28.0;141.0;0.99397;3.16;0.38;10.6;7
5.8;0.15;0.32;1.2;0.037000000000000005;14.0;119.0;0.9913700000000001;3.19;0.5;10.2;6
6.7;0.41;0.27;2.6;0.033;25.0;85.0;0.9908600000000001;3.05;0.34;11.7;6
5.2;0.24;0.15;7.1;0.043;32.0;134.0;0.9937799999999999;3.24;0.48;9.9;6
7.0;0.2;0.3;6.1;0.037000000000000005;31.0;120.0;0.9939;3.24;0.51;10.8;5
7.9;0.33;0.28;31.6;0.053;35.0;176.0;1.0103;3.15;0.38;8.8;6
7.3;0.25;0.29;7.5;0.049;38.0;158.0;0.9965;3.43;0.38;9.6;5
7.1;0.43;0.61;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;8.7;5
6.8;0.25;0.27;10.7;0.076;47.0;154.0;0.9967;3.05;0.38;9.0;5
6.4;0.29;0.57;1.0;0.06;15.0;120.0;0.9924;3.06;0.41;9.5;5
7.2;0.21;0.37;1.6;0.049;23.0;94.0;0.9924;3.16;0.48;10.9;7
6.0;0.34;0.66;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;8.8;6
6.9;0.2;0.3;4.7;0.040999999999999995;40.0;148.0;0.9932;3.16;0.35;10.2;6
7.5;0.22;0.29;4.8;0.05;33.0;87.0;0.9940000000000001;3.14;0.42;9.9;5
6.9;0.32;0.13;7.8;0.042;11.0;117.0;0.996;3.23;0.37;9.2;5
8.1;0.24;0.33;10.2;0.048;46.0;141.0;0.9972;3.16;0.48;10.3;6
5.8;0.13;0.26;5.1;0.039;19.0;103.0;0.9947799999999999;3.36;0.47;9.3;6
6.8;0.25;0.31;13.3;0.05;69.0;202.0;0.9972;3.22;0.48;9.7;6
6.4;0.38;0.24;7.2;0.047;41.0;151.0;0.9960399999999999;3.11;0.6;9.2;5
6.8;0.29;0.5;13.3;0.053;48.0;194.0;0.9974;3.09;0.45;9.4;5
7.4;0.16;0.3;1.4;0.064;34.0;166.0;0.99136;3.11;0.42;11.433333333333302;6
7.8;0.25;0.34;13.7;0.044000000000000004;66.0;184.0;0.99976;3.22;0.75;8.9;5
3.9;0.225;0.4;4.2;0.03;29.0;118.0;0.9890000000000001;3.57;0.36;12.8;8
6.9;0.24;0.33;12.5;0.046;47.0;153.0;0.9983;3.28;0.77;9.6;6
6.0;0.22;0.28;1.1;0.034;47.0;90.0;0.98862;3.22;0.38;12.6;6
6.6;0.32;0.47;15.6;0.063;27.0;173.0;0.99872;3.18;0.56;9.0;5
8.2;0.27;0.43;1.6;0.035;31.0;128.0;0.9916;3.1;0.5;12.3;6
5.6;0.175;0.29;0.8;0.043;20.0;67.0;0.9911200000000001;3.28;0.48;9.9;6
6.9;0.18;0.3;2.0;0.038;39.0;190.0;0.9914;3.32;0.37;12.2;6
6.9;0.23;0.34;4.0;0.047;24.0;128.0;0.9944;3.2;0.52;9.7;6
6.4;0.23;0.26;8.1;0.054000000000000006;47.0;181.0;0.9954;3.12;0.49;9.4;5
8.1;0.2;0.3;1.3;0.036000000000000004;7.0;49.0;0.9924200000000001;2.99;0.73;10.3;5
7.2;0.4;0.38;2.2;0.03;40.0;109.0;0.99075;3.27;0.46;12.6;6
8.5;0.2;0.4;1.1;0.046;31.0;106.0;0.9919399999999999;3.0;0.35;10.5;4
6.2;0.12;0.26;5.7;0.044000000000000004;56.0;158.0;0.9951;3.52;0.37;10.5;6
7.6;0.24;0.44;3.8;0.037000000000000005;49.0;146.0;0.9911;3.06;0.37;11.6;6
6.9;0.22;0.43;6.4;0.042;34.0;115.0;0.99293;3.05;0.51;10.8;6
6.7;0.25;0.26;1.55;0.040999999999999995;118.5;216.0;0.9949;3.55;0.63;9.4;3
9.2;0.25;0.34;1.2;0.026000000000000002;31.0;93.0;0.9916;2.93;0.37;11.3;7
6.9;0.29;0.3;8.2;0.026000000000000002;35.0;112.0;0.99144;3.0;0.37;12.3;6
8.0;0.23;0.37;9.6;0.054000000000000006;23.0;159.0;0.99795;3.32;0.47;9.8;4
6.9;0.23;0.38;8.3;0.047;47.0;162.0;0.9954;3.34;0.52;10.5;7
7.1;0.28;0.26;2.8;0.039;50.0;118.0;0.9908;3.06;0.59;11.2;6
7.3;0.29;0.29;4.6;0.028999999999999998;27.0;155.0;0.9931;3.07;0.26;10.6;6
7.1;0.25;0.28;1.6;0.052000000000000005;46.0;169.0;0.9926;3.05;0.41;10.5;5
6.9;0.22;0.49;7.0;0.063;50.0;168.0;0.9957;3.54;0.5;10.3;6
7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7
7.2;0.24;0.3;1.2;0.037000000000000005;11.0;95.0;0.9891399999999999;2.96;0.36;12.5;6
7.1;0.21;0.37;2.4;0.026000000000000002;23.0;100.0;0.9903;3.15;0.38;11.4;7
6.7;0.33;0.42;6.4;0.057999999999999996;27.0;151.0;0.9954;3.16;0.44;9.6;5
7.1;0.36;0.56;1.3;0.046;25.0;102.0;0.9923;3.24;0.33;10.5;6
6.7;0.5;0.36;11.5;0.096;18.0;92.0;0.9964200000000001;3.11;0.49;9.6;5
6.5;0.24;0.39;17.3;0.052000000000000005;22.0;126.0;0.9988799999999999;3.11;0.47;9.2;6
7.4;0.31;0.26;8.6;0.048;47.0;206.0;0.9964;3.26;0.36;9.1;5
6.6;0.19;0.43;10.9;0.045;53.0;154.0;0.9975200000000001;3.52;0.77;10.4;6
7.4;0.21;0.8;12.3;0.038;77.0;183.0;0.9977799999999999;2.95;0.48;9.0;5
7.6;0.2;0.36;1.9;0.043;24.0;111.0;0.9923700000000001;3.29;0.54;11.3;6
6.0;0.17;0.49;1.0;0.034;26.0;106.0;0.992;3.21;0.42;9.8;6
6.7;0.24;0.35;13.1;0.05;64.0;205.0;0.997;3.15;0.5;9.5;5
6.3;0.495;0.22;1.8;0.046;31.0;140.0;0.9929;3.39;0.54;10.4;6
5.2;0.365;0.08;13.5;0.040999999999999995;37.0;142.0;0.997;3.46;0.39;9.9;6
7.3;0.19;0.25;1.4;0.051;41.0;107.0;0.99382;3.53;0.66;10.5;7
6.4;0.3;0.45;3.5;0.19699999999999998;76.0;180.0;0.9942;3.02;0.39;9.1;6
7.1;0.23;0.39;1.6;0.032;12.0;65.0;0.9898;3.25;0.4;12.7;7
7.3;0.2;0.29;19.9;0.039;69.0;237.0;1.00037;3.1;0.48;9.2;6
6.7;0.24;0.36;8.4;0.042;42.0;123.0;0.9947299999999999;3.34;0.52;10.9;6
8.0;0.28;0.3;8.4;0.03;35.0;115.0;0.99192;2.93;0.42;12.3;6
7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7
6.4;0.28;0.44;7.1;0.048;49.0;179.0;0.9952799999999999;3.15;0.48;9.2;5
8.6;0.485;0.29;4.1;0.026000000000000002;19.0;101.0;0.9918;3.01;0.38;12.4;5
6.6;0.25;0.24;1.7;0.048;26.0;124.0;0.9942;3.37;0.6;10.1;6
6.7;0.39;0.31;2.7;0.054000000000000006;27.0;202.0;0.9948;3.46;0.57;10.5;6
7.6;0.22;0.28;12.0;0.055999999999999994;68.0;143.0;0.9983;2.99;0.3;9.2;6
7.1;0.44;0.27;8.4;0.057;60.0;160.0;0.9925700000000001;3.16;0.36;11.8;6
7.0;0.3;0.38;14.9;0.032;60.0;181.0;0.9983;3.18;0.61;9.3;7
7.2;0.31;0.35;7.2;0.046;45.0;178.0;0.9955;3.14;0.53;9.7;5
6.4;0.18;0.74;11.9;0.046;54.0;168.0;0.9978;3.58;0.68;10.1;5
7.7;0.27;0.34;1.8;0.027999999999999997;26.0;168.0;0.9911;2.99;0.48;12.1;7
6.5;0.25;0.32;9.9;0.045;41.0;128.0;0.99636;3.18;0.52;9.6;6
6.9;0.24;0.37;6.1;0.027000000000000003;38.0;112.0;0.9908600000000001;3.19;0.34;12.4;6
6.5;0.19;0.32;1.4;0.04;31.0;132.0;0.9922;3.36;0.54;10.8;7
6.8;0.22;0.31;6.3;0.035;33.0;170.0;0.9918;3.24;0.66;12.6;6
8.5;0.26;0.21;16.2;0.07400000000000001;41.0;197.0;0.998;3.02;0.5;9.8;3
8.1;0.2;0.28;0.9;0.023;49.0;87.0;0.9906200000000001;2.92;0.36;11.1;6
5.9;0.29;0.16;7.9;0.044000000000000004;48.0;197.0;0.9951200000000001;3.21;0.36;9.4;5
6.9;0.14;0.38;1.0;0.040999999999999995;22.0;81.0;0.9904299999999999;3.03;0.54;11.4;6
8.3;0.24;0.27;2.1;0.03;22.0;162.0;0.9914;2.99;0.68;11.9;6
6.7;0.27;0.26;2.3;0.043;61.0;181.0;0.9939399999999999;3.45;0.63;10.6;6
9.0;0.27;0.35;4.9;0.027999999999999997;27.0;95.0;0.9932;3.04;0.4;11.3;6
5.9;0.34;0.25;2.0;0.042;12.0;110.0;0.99034;3.02;0.54;11.4;6
6.0;0.26;0.33;4.35;0.04;15.0;80.0;0.98934;3.29;0.5;12.7;6
7.6;0.27;0.25;13.9;0.05;45.0;199.0;0.9984;3.34;0.5;9.8;6
5.6;0.35;0.4;6.3;0.022000000000000002;23.0;174.0;0.9922;3.54;0.5;11.6;7
6.5;0.23;0.39;1.9;0.036000000000000004;41.0;98.0;0.99;3.19;0.43;11.9;7
6.7;0.41;0.24;5.4;0.035;33.0;115.0;0.9901;3.12;0.44;12.8933333333333;7
7.4;0.25;0.28;7.25;0.027999999999999997;14.0;78.0;0.9923799999999999;2.94;0.37;11.5;7
8.3;0.22;0.38;14.8;0.054000000000000006;32.0;126.0;1.0002;3.22;0.5;9.7;5
6.9;0.17;0.25;1.6;0.047;34.0;132.0;0.9914;3.16;0.48;11.4;5
6.2;0.2;0.33;5.4;0.027999999999999997;21.0;75.0;0.9901200000000001;3.36;0.41;13.5;7
7.8;0.22;0.26;9.0;0.047;38.0;132.0;0.997;3.25;0.53;10.2;6
6.6;0.23;0.2;11.4;0.044000000000000004;45.0;131.0;0.9960399999999999;2.96;0.51;9.7;6
7.1;0.22;0.33;2.8;0.033;48.0;153.0;0.9899;3.15;0.38;12.7;7
7.3;0.17;0.36;8.2;0.027999999999999997;44.0;111.0;0.99272;3.14;0.41;12.4;6
7.2;0.17;0.34;6.4;0.042;16.0;111.0;0.9927799999999999;2.99;0.4;10.8;6
6.3;0.23;0.33;1.5;0.036000000000000004;15.0;105.0;0.991;3.32;0.42;11.2;6
7.9;0.35;0.36;1.6;0.038;11.0;124.0;0.9928;3.25;0.48;11.0;5
7.6;0.3;0.22;10.2;0.049;57.0;191.0;0.9966;3.08;0.4;9.3;6
8.1;0.17;0.44;14.1;0.053;43.0;145.0;1.0006;3.28;0.75;8.8;8
6.8;0.2;0.28;12.6;0.048;54.0;136.0;0.99556;3.19;0.37;10.7;6
9.2;0.28;0.46;3.2;0.057999999999999996;39.0;133.0;0.996;3.14;0.58;9.5;5
6.6;0.17;0.35;2.6;0.03;33.0;78.0;0.99146;3.22;0.72;11.3;6
6.6;0.16;0.3;1.6;0.034;15.0;78.0;0.992;3.38;0.44;11.2;6
7.3;0.22;0.37;14.3;0.063;48.0;191.0;0.9978;2.89;0.38;9.0;6
